candidate_id,source_file,text,sentence_count,word_count,fkgl,text_simplified_reference,annotator_id,confidence,notes,jargon_terms,fkgl_original,fkgl_simplified,word_count_original,word_count_simplified
1,hsbc_summary_box.txt,Maximum credit limit: Subject to status. Cash or cash-like transactions incur a fee of 2.99% of the amount with a minimum charge of £3 and the terms for balance transfers are provided separately in the offer sent to you.,3,39,7.9,"Maximum credit limit: Subject to status. Cash or cash-like transactions incur a fee of 2.99% of the amount, with a minimum charge of £3. The terms for balance transfers are provided separately in the offer sent to you.",Hanley,High,,"credit limit, balance transfer",7.9,6.7,39,38
2,cfpb_consumer_advisory.txt,"You can contact the credit reporting companies directly to dispute errors or file a complaint with the Bureau, and if you have further questions about credit reports or scores, you can visit Ask CFPB, an online database of common financial questions and answers.",2,43,20.4,"You can contact the credit reporting companies directly to dispute errors or file a complaint with the Bureau. If you have further questions about credit reports or scores, you can visit Ask CFPB, an online database of common financial questions and answers.",Hanley,High,,"credit reporting companies, credit report, credit score",20.4,12.0,43,42
3,hsbc_personal_loan_tandc.txt,"After you have made your first repayment, you can ask us to change your monthly repayment date; although we cannot change your next payment date, we can change all later payment dates, and in some cases we may require you to repay the loan immediately.",2,45,18.7,"After your first repayment, you can ask us to change your monthly repayment date. We cannot change your next payment date, but we can change all later payment dates. In some cases, we may require you to repay the loan immediately.",Hanley,High,,repayment date,18.7,6.7,45,41
4,fca_consumer_credit_guide.txt,"Threshold Conditions (COND): This sets out minimum conditions which all firms must meet if they wish to be authorised. Once authorised, firms must continue to meet these standards on an ongoing basis.",2,32,8.7,"Threshold Conditions (COND): This sets out the minimum conditions all firms must meet in order to be authorised. Once authorised, firms must continue to meet these standards on an ongoing basis.",Hanley,High,,"authorised, Threshold Conditions",8.7,9.1,32,31
5,fca_consumer_credit_guide.txt,"General Provisions (GEN): This sets out some of the standards that apply to all firms in terms of their interaction with us, including statutory disclosure statements and use of the FCA name or logo.",2,34,16.1,"General Provisions (GEN): This sets out the standards that apply to all firms in their dealings with us, including required disclosure statements and the rules on using the FCA name or logo.",Hanley,High,,"FCA, disclosure statements, General Provisions",16.1,15.3,34,32
6,nationwide_mortgage_conditions.txt,"If we appoint a receiver, youll also appoint them as your attorney. This will be a separate appointment and the receiver will be allowed to do all the things that we can do under our power of attorney.",2,38,9.5,"If we appoint a receiver (a person given authority to manage assets on our behalf), you will also appoint them as your attorney. This will be a separate appointment, and the receiver will be allowed to do everything that we can do under our power of attorney.",Hanley,High,,"receiver, attorney, power of attorney",9.5,12.9,38,47
7,cfpb_consumer_advisory.txt,Consider products that help you rebuild your credit. Products like secured credit cards andcredit builder loans are specifically designed to help you build a positive credit history.,3,27,11.5,Consider products that help you rebuild your credit. Products like secured credit cards and credit builder loans are specifically designed to help you build a positive credit history.,Hanley,High,,"secured credit cards, credit builder loans, credit history",11.5,10.9,27,28
8,fca_consumer_lending_strategy.txt,This letter sets out our updated view on the key risks of harm we believe Consumer Lending firms may pose to their consumers and the markets in which they operate. This will shape our focus and engagement with the Consumer Lending market over the next two years.,2,47,10.6,This letter sets out our updated view on the key risks of harm that Consumer Lending firms may pose to their customers and the markets in which they operate. This will shape our focus and engagement with the Consumer Lending market over the next two years.,Hanley,High,,Consumer Lending,10.6,10.3,47,46
9,sec_interest_rate_risk.txt,"A fundamental principle of bond investing is that market interest rates and bond prices generally move in opposite directions: when market interest rates rise, the prices of fixed-rate bonds fall, a phenomenon known as interest rate risk.",2,37,20.2,"A key principle of bond investing is that market interest rates and bond prices generally move in opposite directions. When market interest rates rise, the prices of fixed-rate bonds fall. This is known as interest rate risk.",Hanley,High,,"bond, market interest rates, interest rate risk, fixed-rate bonds",20.2,8.7,37,37
10,nationwide_current_account_tandc.txt,"These checks are part of most account application processes  however, they will leave a record on your credit file that other lenders can see. This might affect your ability to get credit elsewhere for a short while.",2,38,9.5,"These checks are part of most account application processes. However, they will leave a record on your credit file that other lenders can see. This may affect your ability to get credit elsewhere for a short period.",Hanley,High,,"credit file, credit check",9.5,7.4,38,37
11,fca_consumer_lending_strategy.txt,"Our Priorities: We want to support a sustainable and effective Consumer Lending market in which consumers who can afford to borrow, have access to credit that meets their needs. Firms offering credit must do so responsibly.",2,36,10.8,Our priorities: We want to support a sustainable and effective Consumer Lending market in which consumers who can afford to borrow have access to credit that meets their needs. Firms offering credit must do so responsibly.,Hanley,High,,"Consumer Lending, credit",10.8,10.8,36,36
12,nationwide_current_account_tandc.txt,"When we share your information with credit reference agencies theyll use this to check your credit rating, along with the other details youve given us. These checks are part of most account application processes  however, they will leave a record on your credit file that other lenders can see. This might affect your ability to get credit elsewhere for a short while.",2,63,10.6,"When we share your information with credit reference agencies, they will use it to check your credit rating, along with the other details you have given us. These checks are part of most account application processes. However, they will leave a record on your credit file that other lenders can see. This may affect your ability to get credit elsewhere for a short period.",Hanley,High,,"credit reference agencies, credit rating, credit file",10.6,8.7,63,64
13,fca_consumer_credit_guide.txt,"Credit broking where the sale of goods or non-financial services is the main business, and broking is a secondary activity to help finance the purchase of those goods or services (such as certain motor dealerships and high-street retailers that introduce customers to a finance provider)",2,45,22.7,"Credit broking where the main business is selling goods or non-financial services, and where arranging finance is a secondary activity to help customers pay for those goods or services — for example, certain car dealerships and high-street retailers that refer customers to a finance provider.",Hanley,High,,"credit broking, finance provider",22.7,23.2,45,45
14,cfpb_secured_unsecured_loans.txt,"This trust is based on their credit history what borrowers have done in the past that gives them a good credit rating. Because unsecured loans put lenders at higher risk, they may have a higher interest rate than secured loans.",2,40,9.9,"This trust is based on borrowers' credit history — what they have done in the past that gives them a good credit rating. Because unsecured loans put lenders at higher risk, they may carry a higher interest rate than secured loans.",Hanley,High,,"credit history, credit rating, unsecured loans, secured loans",9.9,10.2,40,41
15,nationwide_savings_tandc.txt,"You may have to pay a charge, lose interest, or give notice before closing your account unless other terms and conditions say you dont. For example, you wont have to do this if we make a change to the terms and conditions thats to your disadvantage.",2,46,9.3,"You may have to pay a charge, lose interest, or give notice before closing your account, unless the terms and conditions say otherwise. For example, you will not have to do this if we make a change to the terms and conditions that is to your disadvantage.",Hanley,High,,terms and conditions,9.3,9.6,46,47
16,hsbc_summary_box.txt,"If you are over your credit limit (even if we have allowed you to go over):  If a payment is returned unpaid: If we need to enforce repayment, including legal and tracing costs: Our reasonable costs.",3,36,16.8,"If you are over your credit limit (even if we allowed you to exceed it): our reasonable costs apply. If a payment is returned unpaid: our reasonable costs apply. If we need to enforce repayment, including legal and tracing costs: our reasonable costs apply.",Hanley,High,,credit limit,16.8,9.2,36,44
17,sec_interest_rate_risk.txt,"In fact, the U.S. government does not guarantee the market price or value of the bond if you sell the bond before it matures. This is because the market price or value of the bond can change over time based on several factors, including market interest rates.",2,47,5.8,"The U.S. government does not guarantee the market price or value of the bond if you sell it before it matures. This is because the market value of a bond can change over time based on several factors, including market interest rates.",Hanley,High,,"bond, market interest rates, market price",5.8,5.9,47,42
18,cfpb_credit_card_guide.txt,"If you did not have a consumer credit licence on 31 March 2014, or you did not notify us that you wished to receive interim permission, you can apply for authorisation at any point but you cannot carry on any credit-related regulated activities, for which you require authorisation, until we approve your application.",2,53,26.0,"If you did not hold a consumer credit licence on 31 March 2014, or did not notify us that you wished to receive interim permission, you may apply for authorisation at any time. However, you cannot carry on any credit-related regulated activities that require authorisation until we have approved your application.",Hanley,High,,"consumer credit licence, interim permission, authorisation, regulated activities",26.0,16.3,53,51
19,nationwide_current_account_tandc.txt,"Our Current Account Interest Rates and Charges leaflet sets out the accounts upon which we pay interest and our charges. Our current interest rates and charges are available from any of our branches, on our website and in our Current Account Interest Rates and Charges leaflet.",2,46,12.6,"Our Current Account Interest Rates and Charges leaflet sets out the accounts on which we pay interest and our charges. Our current interest rates and charges are available at any of our branches, on our website, and in our Current Account Interest Rates and Charges leaflet.",Hanley,High,,"interest rates, charges",12.6,12.4,46,46
20,cfpb_credit_card_guide.txt,This answer guide provides possible answers for the Getting a credit card and using it wisely worksheet. Keep in mind that students answers may vary. The important thing is for students to have reasonable justification for their answers.,3,38,8.6,This answer guide provides possible answers for the 'Getting a credit card and using it wisely' worksheet. Keep in mind that students' answers may vary. The important thing is that students can give a reasonable explanation for their answers.,Hanley,High,,credit card,8.6,8.2,38,39
21,sec_interest_rate_risk.txt,"For example, as the table below illustrates, lets say a treasury bond offers a 3 coupon rate, and a year later market interest rates fall to 2 . The bond will still pay a 3 coupon rate, making it more valuable than new bonds paying just a 2 coupon rate.",2,50,10.2,"For example, if a treasury bond offers a 3% coupon rate and, a year later, market interest rates fall to 2%, the bond will still pay a 3% coupon rate. This makes it more valuable than new bonds paying only a 2% coupon rate.",John,High,,"treasury bond, coupon rate, market interest rates",10.2,8.8,50,44
22,hsbc_personal_loan_tandc.txt,We charge a fixed amount of interest which we add to the loan when we open the loan account. The total amount payable What are our rights if you miss a repayment by you is the sum of interest and the loan.,2,42,7.8,"We charge a fixed amount of interest, which we add to the loan when the loan account is opened. The total amount payable by you is the sum of the loan and the interest.",John,High,,"interest, total amount payable",7.8,6.7,42,34
23,hsbc_credit_card_tandc.txt,"You mustnt use your card for any illegal purposes or to make certain types. When changes take effect of restricted transactions. Well give you information about which types of If the Base Rate changes, your simple standard and cash interest rates will transaction are not allowed from time to time.",2,50,9.1,"You must not use your card for any illegal purposes or for certain types of restricted transactions. We will tell you from time to time which types of transactions are not allowed. If the Base Rate changes, your standard and cash interest rates will change accordingly.",John,High,,"Base Rate, restricted transactions, interest rates",9.1,8.3,50,46
24,cfpb_secured_unsecured_loans.txt,Suggested activities include Qualifying for loans and Calculating loan payments. You also may consider having students get an estimated credit score at the FICO Score Estimator1 at fico-credit-score-estimator estimator. The CFPB does not endorse this third party or guarantee the accuracy of this third-party information.,2,45,14.6,Suggested activities include 'Qualifying for loans' and 'Calculating loan payments'. You may also consider having students estimate their credit score using the FICO Score Estimator. Please note that the CFPB does not endorse this third party or guarantee the accuracy of the information it provides.,John,High,,"credit score, FICO Score, CFPB",14.6,11.5,45,45
25,bank_of_scotland_cc_tandc.txt,The cost to use your credit card depends on the interest rates and any introductory or promotional offers you have. What is the interest rate? We use both simple and effective rates when we explain the interest rates we charge you.,3,41,8.2,The cost of using your credit card depends on the interest rates and any introductory or promotional offers you have. We use both simple and effective interest rates when explaining the rates we charge you.,John,High,,"interest rates, promotional offers, simple interest, effective interest",8.2,10.8,41,35
26,fca_consumer_credit_guide.txt,"Financial crime and intelligence All consumer credit firms are required to put in place systems and controls to mitigate the risk that they may be used to further financial crime. We look at the measures firms take to monitor, detect and prevent financial crime risk effectively.",2,46,12.9,"Financial crime and intelligence: all consumer credit firms must put in place systems and controls to reduce the risk that they may be used to facilitate financial crime. We review the steps firms take to monitor, detect, and prevent financial crime effectively.",John,High,,"financial crime, consumer credit firms",12.9,12.3,46,42
27,cfpb_credit_card_guide.txt,"Using credit: In your own words, explain how a credit card works. When you use a credit card, someone lends you money to buy something.",3,25,5.3,"Using credit: In your own words, explain how a credit card works. When you use a credit card, someone lends you money to buy something.",John,High,,"credit card, credit",5.3,5.3,25,25
28,nationwide_mortgage_conditions.txt,e'll make sure any increase in your interest rate is Changes to your property proportionate to the reason for increasing it. You must not change the structure of your property or extend it in a way that reduces its value.,2,40,9.6,We will make sure any increase in your interest rate is proportionate to the reason for making it. You must not change the structure of your property or extend it in a way that reduces its value.,John,High,,interest rate,9.6,8.2,40,37
29,fca_consumer_credit_guide.txt,We wrote to firms to tell them when they should apply. Authorisation is our equivalent of the OFT consumer credit licensing regime. Firms that want to carry on regulated activities must apply for authorisation (unless they are exempt or an appointed representative).,3,42,11.5,"We wrote to firms to tell them when they should apply. Authorisation is our equivalent of the OFT consumer credit licensing regime. Firms that wish to carry on regulated activities must apply for authorisation, unless they are exempt or are an appointed representative.",John,High,,"authorisation, OFT, regulated activities, appointed representative",11.5,11.1,42,43
30,cfpb_credit_card_guide.txt,"Why is it a good idea to pay your entire credit card bill each month? If you can pay your entire bill every month, you wont have to pay interest. That makes credit less expensive for you.",3,37,4.8,"Why is it a good idea to pay your entire credit card bill each month? If you pay your entire bill every month, you will not have to pay interest. This makes credit less expensive for you.",John,High,,"credit card, interest",4.8,4.8,37,37
31,hsbc_credit_card_tandc.txt,"For example, proof of identity. We can also cancel or suspend the use of the account where: Youve been in persistent debt for two 18-month periods in a row. That means youve paid more interest, fees and charges than the amount youve repaid.",2,43,6.2,"For example, proof of identity. We can also cancel or suspend use of the account where you have been in persistent debt for two consecutive 18-month periods. This means you have paid more in interest, fees, and charges than the amount you have repaid.",John,High,,"persistent debt, interest, fees",6.2,7.0,43,44
32,bank_of_scotland_cc_tandc.txt,Well charge a default fee and interest on it.  If you keep missing payments We can require you to pay back your full balance if you dont pay missed payments when we ask.,3,33,5.9,"We will charge a default fee and interest on it. If you keep missing payments, we can require you to repay your full balance if you do not pay the missed payments when we ask.",John,High,,"default fee, interest, balance",5.9,6.4,33,35
33,fca_consumer_credit_guide.txt,"These are led by our Competition Department. Market studies analyse the effectiveness of competition in different markets, and identify areas where we can intervene to promote more effective competition. The purpose of a market study is to understand whether competition is working effectively in the interests of consumers.",3,48,14.5,These are led by our Competition Department. Market studies analyse how effectively competition is working in different markets and identify areas where we can intervene to promote more effective competition. The purpose of a market study is to understand whether competition is working in the interests of consumers.,John,High,,"market study, competition",14.5,13.8,48,48
34,bank_of_scotland_cc_tandc.txt,How much does it cost to use a credit card? The cost to use your credit card depends on the interest rates and any introductory or promotional offers you have.,2,30,8.0,How much does it cost to use a credit card? The cost depends on the interest rates and any introductory or promotional offers you have.,John,High,,"credit card, interest rates, promotional offers",8.0,7.7,30,25
35,sec_interest_rate_risk.txt,"Maturity can also affect interest rate risk. The longer the bonds maturity, the greater the risk that the bonds value could be impacted by changing interest rates prior to maturity, which may have a negative effect on the price of the bond.",2,42,11.1,"Maturity can also affect interest rate risk. The longer a bond's maturity, the greater the risk that its value may be affected by changing interest rates before it matures, which may have a negative effect on the bond's price.",John,High,,"maturity, interest rate risk, bond",11.1,11.1,42,39
36,bank_of_scotland_cc_tandc.txt,"We dont pay interest on credit balances or take them into account for any loyalty or reward schemes. Paying by Direct Debit You can set up a Direct Debit, for example to pay the minimum payment, a fixed amount, or the full balance each month.",2,45,10.8,"We do not pay interest on credit balances or take them into account for any loyalty or reward schemes. You can set up a Direct Debit to pay, for example, the minimum payment, a fixed amount, or the full balance each month.",John,High,,"credit balance, Direct Debit, minimum payment",10.8,10.0,45,42
37,nationwide_current_account_tandc.txt,"We wont be responsible if you ask us to make a payment to another person and the recipients bank delays crediting the money to the recipients account. This could happen if, for example, they need to carry out security checks.",2,40,10.2,"We will not be responsible if you ask us to make a payment to another person and the recipient's bank delays crediting the money to their account. This could happen if, for example, the recipient's bank needs to carry out security checks.",John,High,,security checks,10.2,10.3,40,42
38,barclaycard_general_tandc.txt,"Some people may want to get a secured credit card if they cant get an unsecured credit card. This gives you a credit card and helps to build up your credit record if you pay it on time, every time.",3,40,7.8,"Some people may want to get a secured credit card if they cannot get an unsecured credit card. A secured credit card helps you build your credit record if you pay on time, every time.",John,High,,"secured credit card, unsecured credit card, credit record",7.8,8.1,40,35
39,barclaycard_general_tandc.txt,"Once you ve told us youre withdrawing from this agreement, youll have 30 days to pay back anything youve spent on your card. If you dont repay us within 30 days, we may charge interest in line with the terms of this agreement.",2,43,7.9,"Once you have told us you are withdrawing from this agreement, you will have 30 days to repay anything you have spent on your card. If you do not repay within 30 days, we may charge interest in line with the terms of this agreement.",John,High,,"withdrawing, interest",7.9,8.4,43,45
40,fca_consumer_lending_strategy.txt,"We will work closely with the Government and industry on this. We published our consultation paper , on strengthening protections for consumers in financial difficulty, moving aspects of the Tailored Support Guidance (TSG) for Consumer Credit and Mortgages into our Handbook on a permanent basis.",2,45,15.2,"We will work closely with the Government and industry on this. We published our consultation paper on strengthening protections for consumers in financial difficulty, and on moving aspects of the Tailored Support Guidance for Consumer Credit and Mortgages into our Handbook on a permanent basis.",John,High,,"Tailored Support Guidance, Consumer Credit, consultation paper",15.2,15.2,45,45
41,amazon_barclaycard_tandc.txt,"Before we make a promotional offer We may also charge you an amount to cover any other reasonable costs or available, well tell you the terms of the promotion. Theres more information losses we must pay if you break this agreement. below on the interest rate(s) associated with promotional balances.",2,50,11.0,"Before we make a promotional offer available, we will tell you the terms of the promotion. There is more information below on the interest rates associated with promotional balances. We may also charge you an amount to cover any other reasonable costs or losses we incur if you break this agreement.",Gianni,High,,"promotional offer, promotional balances, interest rates",11.0,10.9,50,51
42,amazon_barclaycard_tandc.txt,"If you become bankrupt (or enter into a voluntary arrangement with your We may also sell your debt on to another organisation. If you have other creditors) or if we believe this is likely to happen accounts with Barclays, we may use money in those accounts to pay us.",2,49,12.5,"If you become bankrupt or enter into a voluntary arrangement with your creditors, or if we believe this is likely, we may sell your debt to another organisation. If you have other accounts with Barclays, we may use money in those accounts to repay what you owe us.",Gianni,High,,"bankrupt, voluntary arrangement, creditors",12.5,12.2,49,48
43,nationwide_mortgage_conditions.txt,"When you take out this mortgage, you appoint us to be your attorney. These powers will only end when you have paid back all the money you owe us and we no longer have a legal charge over the property.",2,40,7.6,"When you take out this mortgage, you appoint us as your attorney. These powers will only end when you have repaid all the money you owe us and we no longer hold a legal charge over the property.",Gianni,High,,"mortgage, attorney, legal charge",7.6,7.7,40,38
44,barclaycard_general_tandc.txt,"You wont be able to use a claim against the retailer (or anyone else) to make a claim against us, or to refuse to pay us. However, this doesnt affect your rights under Section 75 of the Consumer Credit Act 1974 (or any replacement act or rule).",2,47,10.4,"You cannot use a dispute with a retailer or anyone else to make a claim against us or to refuse to pay us. However, this does not affect your rights under Section 75 of the Consumer Credit Act 1974 or any replacement legislation.",Gianni,High,,"Section 75, Consumer Credit Act 1974",10.4,10.6,47,43
45,hsbc_credit_card_tandc.txt,This could also include interest charged on any amounts carried over from your June statement. We also charge interest on trailing interest so even if you pay the trailing interest in full in September we may charge further interest on the account.,2,42,12.0,"This may also include interest charged on any amounts carried over from your June statement. We also charge interest on trailing interest (interest that continues to accrue after a payment). So even if you pay the trailing interest in full in September, we may charge further interest on the account.",Gianni,High,,"trailing interest, compound interest",12.0,10.5,42,50
46,cfpb_secured_unsecured_loans.txt,"Wrap-up If time allows, ask students to complete an exit ticket responding to the following prompt: How would you describe the difference between a secured and an unsecured loan? Consider searching for other CFPB activities that address the topic of borrowing, including getting loans and managing credit.",2,47,14.4,"Wrap-up: If time allows, ask students to complete an exit ticket responding to the following question: How would you describe the difference between a secured and an unsecured loan? You may also search for other CFPB activities on the topic of borrowing, including getting loans and managing credit.",Gianni,High,,"secured loan, unsecured loan, CFPB",14.4,13.9,47,48
47,fca_consumer_lending_strategy.txt,"Offering new products can potentially present risks to consumers, as well as benefits. Clear responsibility for new products, and accountability through the Senior Manager Regime, is a priority to ensure good outcomes for, and fair treatment of, consumers.",2,38,14.2,"Offering new products can present risks to consumers as well as benefits. Clear responsibility for new products, and accountability through the Senior Manager Regime, is a priority to ensure good outcomes and fair treatment for consumers.",Gianni,High,,Senior Manager Regime,14.2,13.4,38,36
48,nationwide_savings_tandc.txt,"You have, or we reasonably believe you have, used the account for illegal or fraudulent purposes. By keeping your account open, we reasonably believe we may: break a law, regulation, code, court order or other duty, be exposed to action from a regulator, government or law enforcement agency.",2,48,14.9,"You have, or we reasonably believe you have, used the account for illegal or fraudulent purposes. By keeping your account open, we reasonably believe we may break a law, regulation, code, court order, or other duty, or be exposed to action from a regulator, government, or law enforcement agency.",Gianni,High,,"fraudulent, regulator",14.9,14.9,48,49
49,amazon_barclaycard_tandc.txt,"With your account, well give you a digital card which you can access in the app linked to your account. Youll be able to use the digital card in some digital wallets, and the digital card details for online transactions.",2,40,9.0,"With your account, we will give you a digital card that you can access in the app linked to your account. You will be able to use the digital card in some digital wallets and for online transactions.",Gianni,High,,"digital card, digital wallets",9.0,8.0,40,38
50,hsbc_summary_box.txt,If you're late making the minimum payment: £12. If you're over your credit limit (even if we've allowed you to go over): £12. If a payment is returned unpaid: £5.,3,30,6.0,If you are late making the minimum payment: £12. If you are over your credit limit (even if we allowed you to exceed it): £12. If a payment is returned unpaid: £5.,Gianni,High,,"minimum payment, credit limit",6.0,5.9,30,32
